Symbol,Name,Sector,Industry
000270,기아차,INDUSTRIAL,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비"
024110,기업은행,FINANCIAL,은행업
013700,까뮤이앤씨,INDUSTRIAL,"토목공사,건축공사/부동산 임대"
308100,까스텔바작,CD,골프의류 및 골프잡화
004540,깨끗한나라,MATERIALS,"펄프,판지원지,화장지 제조,수출입"
187790,나노,MATERIALS,세라믹스제품
286750,나노브릭,MATERIALS,"보안응용제품(M-tag 및 M-pac), 보안소재제품(M-secuprint)"
151910,나노스,IT,"Blue Filter, IR Filter, Camera Module"
121600,나노신소재,MATERIALS,"인듐계 산화물 TCO Target, 반도체 CMP Slurry 등"
039860,나노엔텍,HEALTH,의료기기 및 실험기기
091970,나노캠텍,MATERIALS,투명전도성관련제품
244880,나눔테크,HEALTH,"자동심장충격기, 골밀도진단기"
288490,나라소프트,IT,"체육용솔루션(NS트루골프, NS테니스, NS축구, NS승마 등)"
051490,나라엠앤디,INDUSTRIAL,"금형,사출 및 판금부품"
190510,나무가,IT,"스마트폰 카메라모듈, 노트북 카메라모듈"
242040,나무기술,IT,응용소프트웨어 개발 및 공급업
089600,나스미디어,COMMUNICATION,광고매체 판매
293580,나우IB,FINANCIAL,"투자조합, PEF 결성 및 투자"
257990,나우코스,MATERIALS,"화장품, 동물용의약외품"
138610,나이벡,HEALTH,"치아미백제,치과용 골이식재"
130580,나이스디앤비,OTHER,기업신용조사 보고서
036800,나이스정보통신,COMMUNICATION,카드 VAN사업
267320,나인테크,INDUSTRIAL,이차전지 제조 장비
001260,남광토건,INDUSTRIAL,"토목공사,건축공사,기전공사,측량설계시공,용역/철구조물 제조"
008350,남선알미늄,MATERIALS,알미늄샷시 제조/환경사업
004270,남성,OTHER,"수출입(카오디오)/통신기기 제조,판매/이동통신,유선방송,정보통신/생활필수품,식품 판매/부동산 임대"
003920,남양유업,CS,"시유,조제분유,발효유,이유밀,치즈,프렌치까페 제조,도매"
025860,남해화학,MATERIALS,"비료(요소,복합비료),공업제품원료 제조,도매"
111710,남화산업,CD,골프장 서비스
091590,남화토건,INDUSTRIAL,"건축공사, 토목공사"
168330,내츄럴엔도텍,OTHER,"백수오 여성호르몬제, 백수오등복합추출물(원료)"
056000,네스엠,IT,모바일게임
253590,네오셈,INDUSTRIAL,반도체 검사장비
212560,네오오토,INDUSTRIAL,"피니언 기어, 디프 어셈블리, 대형기어"
095660,네오위즈,IT,"피망,스페셜포스"
042420,네오위즈홀딩스,IT,지주사업
311390,네오크레마,CS,기능성 식품 원료
085910,네오티스,INDUSTRIAL,"마이크로비트,샤프트"
092730,네오팜,MATERIALS,생체기능성(아토피)보습제
290660,네오펙트,HEALTH,라파엘스마트글러브 외
306620,네온테크,INDUSTRIAL,기업인수합병
153460,네이블,IT,"유무선융합 인프라, 클라이언트 및 All-IP 통신보안"
007390,네이처셀,MATERIALS,닥터쥬크르
086220,네추럴FNP,CS,건강기능식품
033640,네패스,IT,반도체및TFT-LCD용현상액
330860,네패스아크,OTHER,반도체 테스트 서비스
005720,넥센,MATERIALS,"자동차용 재생타이어튜브,솔리드타이어,고무부품,골프볼,와이어로프소재,특수강선,열처리도금선,건자재 제조,판매,수출입"
002350,넥센타이어,MATERIALS,"타이어,후랩,고무제타이어(승용자동차용,래디알구조) 제조"
089140,넥스턴,INDUSTRIAL,CNC자동선반
065170,넥스트BT,CS,건강보조식품 등
003580,넥스트사이언스,MATERIALS,"무연탄채굴,원유,유전개발,가스전 개발/부동산 임대"
137940,넥스트아이,INDUSTRIAL,"LCD 편광필름 검사장비, BLU 검사장비 등"
348210,넥스틴,INDUSTRIAL,반도체 전공정용 패턴결함 검사장비(AEGIS 등)
041140,넥슨지티,IT,게임소프트웨어개발 공급
217270,넵튠,IT,모바일게임
225570,넷게임즈,IT,기업인수합병
251270,넷마블,IT,온라인·모바일 게임 소프트웨어 개발 및 공급
317860,노드메이슨,MATERIALS,헉슬리/Huxley 화장품(스킨케어 스페셜/스킨케어베이직)
104620,노랑풍선,CD,"국내외여행 알선, 항공권 판매"
090350,노루페인트,MATERIALS,페인트 제조
000320,노루홀딩스,FINANCIAL,지주사업
194700,노바렉스,CS,건강기능식품 제조
