Symbol,Name,Industry,Sector
QLYS,Qualys Inc,IT 서비스 및 컨설팅,IT
LSXMK,Liberty Media Liberty SiriusXM Ord Shs Series C,방송,COMMUNICATION
ALGM,Allegro Microsystems Inc,반도체,IT
VRRM,Verra Mobility Corp,경영 지원 서비스,CS
AVT,Avnet Inc,전자 장비 및 부품,IT
RARE,Ultragenyx Pharmaceutical Inc,생명 공학 및 의학 연구,HEALTH
QXO,QXO Inc,IT 서비스 및 컨설팅,IT
BBIO,BridgeBio Pharma Inc,제약,HEALTH
UMBF,UMB Financial Corp,은행,FINANCIAL
SBNY,Signature Bank,은행,FINANCIAL
FELE,Franklin Electric Co Inc,산업용 기계 및 장비,INDUSTRIAL
RNA,Avidity Biosciences Inc,제약,HEALTH
VIRT,Virtu Financial Inc,투자 은행 및 중개 서비스,FINANCIAL
ALKS,Alkermes Plc,생명 공학 및 의학 연구,HEALTH
NUVL,Nuvalent Inc,생명 공학 및 의학 연구,HEALTH
FIZZ,National Beverage Corp,무알콜 음료,CD
RMBS,Rambus Inc,반도체,IT
SLM,SLM Corp,소비자 대출,FINANCIAL
OS,OneStream Inc,소프트웨어,IT
TIGO,Millicom International Cellular SA,무선 통신 서비스,COMMUNICATION
BGC,Bgc Group Inc,투자 은행 및 중개 서비스,FINANCIAL
ITRI,Itron Inc,전자 장비 및 부품,IT
RDNT,RadNet Inc,의료 시설 및 서비스,HEALTH
LOPE,Grand Canyon Education Inc,기타 교육 서비스 제공,CS
DYN,Dyne Therapeutics Inc,생명 공학 및 의학 연구,HEALTH
LYFT,Lyft Inc,온라인 서비스,IT
EEFT,Euronet Worldwide Inc,경영 지원 서비스,CS
IPAR,Inter Parfums Inc,개인 생활 필수 용품,CS
PECO,Phillips Edison & Co Inc,상업용 REITs,REAL_ESTATE
IAC,IAC Inc,온라인 서비스,IT
GH,Guardant Health Inc,생명 공학 및 의학 연구,HEALTH
HWC,Hancock Whitney Corp,은행,FINANCIAL
TSEM,Tower Semiconductor Ltd,반도체,IT
CRDO,Credo Technology Group Holding Ltd,반도체,IT
